1,Flame Swordsman,"""Flame Manipulator"" + ""Masaki the Legendary Swordsman""",LOB-003,5,1800,1600,18,3,NULL
2,Charubin the Fire Knight,"""Monster Egg"" + ""Hinotama Soul""",LOB-015,3,1100,800,12,3,NULL
3,Darkfire Dragon,"""Firegrass"" + ""Petit Dragon""",LOB-019,4,1500,1250,5,3,NULL
4,Fusionist,"""Petit Angel"" + ""Mystical Sheep #2""",LOB-022,3,900,700,2,3,NULL
5,Flame Ghost,"""Skull Servant"" + ""Dissolverock""",LOB-029,3,1000,800,20,3,NULL
6,Legendary Sword,Increase the ATK and DEF of a Warrior-Type monster equipped with this card by 300 points.,LOB-040,NULL,NULL,NULL,NULL,7,NULL
7,Beast Fangs,Increase the ATK and DEF of a Beast-Type monster equipped with this card by 300 points.,LOB-041,NULL,NULL,NULL,NULL,7,NULL
8,Violet Crystal,Increase the ATK and DEF of a Zombie-Type monster equipped with this card by 300 points.,LOB-042,NULL,NULL,NULL,NULL,7,NULL
9,Book of Secret Arts,Increase the ATK and DEF of a Spellcaster-Type monster equipped with this card by 300 points.,LOB-043,NULL,NULL,NULL,NULL,7,NULL
10,Power of Kaishin,Increase the ATK and DEF of an Aqua-Type monster equipped with this card by 300 points.,LOB-044,NULL,NULL,NULL,NULL,7,NULL
11,Dragon Capture Jar,"As long as this card remains face-up on the field, all face-up Dragon-Type monsters are changed to Defense Position and cannot change their Battle Position.",LOB-045,NULL,NULL,NULL,NULL,12,NULL
12,Forest,"Increase the ATK and DEF of all Insect, Beast, Plant, and Beast-Warrior-Type monsters by 200 points.",LOB-046,NULL,NULL,NULL,NULL,8,NULL
13,Wasteland,"Increase the ATK and DEF of all Dinosaur, Zombie, and Rock-Type monsters by 200 points.",LOB-047,NULL,NULL,NULL,NULL,8,NULL
14,Mountain,"Increase the ATK and DEF of all Dragon, Winged Beast, and Thunder-Type monsters by 200 points.",LOB-048,NULL,NULL,NULL,NULL,8,NULL
15,Sogen,Increase the ATK and DEF of all Beast-Warrior and Warrior-Type monsters by 200 points.,LOB-049,NULL,NULL,NULL,NULL,8,NULL
16,Umi,"Increase the ATK and DEF of all Fish, Sea Serpent, Thunder, and Aqua-Type monsters by 200 points. Decrease the ATK and DEF of all Machine and Pyro-Type monsters by 200 points.",LOB-050,NULL,NULL,NULL,NULL,8,NULL
